emoji,order
😀,1
😃,2
😄,3
😁,4
😆,5
😅,6
🤣,7
😂,8
🙂,9
🙃,10
😉,11
😊,12
😇,13
😍,15
😘,17
😗,18
☺️,19
😚,20
😙,21
😋,22
😛,23
😜,24
🤪,25
😝,26
🤑,27
🤗,28
🤭,29
🤫,30
🤔,31
🤐,32
🤨,33
😐,34
😑,35
😶,36
😏,37
😒,38
🙄,39
😬,40
🤥,41
😌,42
😔,43
😪,44
🤤,45
😴,46
😷,47
🤒,48
🤕,49
🤢,50
🤮,51
🤧,52
😵,56
🤯,57
🤠,58
😎,60
🤓,61
🧐,62
😕,63
😟,64
🙁,65
☹️,66
😮,67
😯,68
😲,69
😳,70
😦,72
😧,73
😨,74
😰,75
😥,76
😢,77
😭,78
😱,79
😖,80
😣,81
😞,82
😓,83
😩,84
😫,85
😤,87
😡,88
😠,89
🤬,90
😈,91
👿,92
💩,95
🙈,112
🙉,113
🙊,114
💋,115
💘,117
💖,119
💔,126
❤️,127
👋,1
🤚,2
🖐️,3
✋,4
🖖,5
👌,6
✌️,8
🤞,9
🤟,10
🤘,11
🤙,12
👈,13
👉,14
👆,15
🖕,16
👇,17
☝️,18
👍,19
👎,20
✊,21
👊,22
🤛,23
🤜,24
👏,25
🙌,26
👐,27
🤲,28
🤝,29
🙏,30
✍️,31
💅,32
🤳,33
💪,34
👀,45
👅,47
🙅‍♂️,82
🙅‍♀️,83
🙆‍♂️,85
🙆‍♀️,86
💁‍♂️,88
💁‍♀️,89
🙋‍♂️,91
🙋‍♀️,92
🤦‍♂️,100
🤦‍♀️,101
🤷‍♂️,103
🤷‍♀️,104
👨‍💻,136
👩‍💻,137
💆‍♂️,207
💆‍♀️,208
💇‍♂️,210
💇‍♀️,211
👯‍♂️,237
👯‍♀️,238
🏄‍♂️,253
🏄‍♀️,254
🚣‍♂️,256
🚣‍♀️,257
🏊‍♂️,259
🏊‍♀️,260
⛹️‍♂️,262
⛹️‍♀️,263
🏋️‍♂️,265
🏋️‍♀️,266
🚴‍♂️,268
🧘‍♂️,289
🧘‍♀️,290
🛀,291
🛌,292
🧑‍🤝‍🧑,293
👩‍❤️‍💋‍👨,298
👨‍❤️‍💋‍👨,299
👩‍❤️‍💋‍👩,300
👩‍❤️‍👨,302
👨‍❤️‍👨,303
👩‍❤️‍👩,304
👨‍👩‍👦,306
👨‍👩‍👧,307
👨‍👩‍👧‍👦,308
👨‍👩‍👦‍👦,309
👨‍👩‍👧‍👧,310
👨‍👨‍👦,311
👨‍👨‍👧,312
👨‍👨‍👧‍👦,313
👨‍👨‍👦‍👦,314
👨‍👨‍👧‍👧,315
👩‍👩‍👦,316
👩‍👩‍👧,317
👩‍👩‍👧‍👦,318
👩‍👩‍👦‍👦,319
👩‍👩‍👧‍👧,320
